2413,PIT,10:22,PHL,11:34,American Airlines,AA,False,,2024-09-18 04:53:50.299053
1671,PIT,10:22,DEN,11:53,United Airlines,UA,False,,2024-09-18 04:53:50.299053
4156,PIT,10:25,DTW,11:34,Delta Air Lines,DL,False,Operated by SkyWest Airlines on behalf of Delta Air Lines,2024-09-18 04:53:50.299053
4735,PIT,10:25,DAL,12:10,Southwest Airlines,WN,False,,2024-09-18 04:53:50.299053
6119,PIT,10:25,IAD,11:33,United Airlines,UA,False,Operated by Mesa Airlines on behalf of United Airlines,2024-09-18 04:53:50.299053
4465,PIT,10:27,DCA,11:38,American Airlines,AA,False,Operated by Republic Airways on behalf of American Airlines,2024-09-18 04:53:50.299053
2255,PIT,10:43,CLT,12:14,American Airlines,AA,False,,2024-09-18 04:53:50.299053
5593,PIT,10:46,LGA,12:11,Delta Air Lines,DL,False,Operated by Republic Airways on behalf of Delta Air Lines,2024-09-18 04:53:50.299053
3755,PIT,10:54,MSP,12:11,Delta Air Lines,DL,False,Operated by SkyWest Airlines on behalf of Delta Air Lines,2024-09-18 04:53:50.299053
2187,PIT,11:00,ORD,11:43,United Airlines,UA,False,,2024-09-18 04:53:50.299053
1380,PIT,11:16,ATL,13:02,Delta Air Lines,DL,False,,2024-09-18 04:53:50.299053
5736,PIT,11:35,BOS,13:23,Delta Air Lines,DL,False,Operated by Republic Airways on behalf of Delta Air Lines,2024-09-18 04:53:50.299053
3014,PIT,11:40,ORD,12:23,American Airlines,AA,False,,2024-09-18 04:53:50.299053
3537,PIT,11:50,EWR,13:25,United Airlines,UA,False,Operated by Republic Airways on behalf of United Airlines,2024-09-18 04:53:50.299053
1583,PIT,11:54,DFW,13:51,American Airlines,AA,False,,2024-09-18 04:53:50.299053
233,PIT,11:59,DUJ,12:54,Southern Airways Express,6G,False,,2024-09-18 04:53:50.299053
1317,PIT,12:00,BNA,12:30,Southwest Airlines,WN,False,,2024-09-18 04:53:50.299053
3574,PIT,06:00,EWR,07:38,United Airlines,UA,False,Operated by Republic Airways on behalf of United Airlines,2024-09-18 05:51:14.565467
1486,PIT,06:00,BOS,07:35,JetBlue,B6,False,,2024-09-18 05:51:14.565467
2242,PIT,06:00,MSP,07:25,Delta Air Lines,DL,False,,2024-09-18 05:51:14.565467
1504,PIT,06:00,ATL,07:45,Delta Air Lines,DL,False,,2024-09-18 05:51:14.565467
5690,PIT,06:07,BOS,08:00,Delta Air Lines,DL,False,Operated by Republic Airways on behalf of Delta Air Lines,2024-09-18 05:51:14.565467
586,PIT,06:15,BWI,07:20,Southwest Airlines,WN,False,,2024-09-18 05:51:14.565467
1358,PIT,06:20,ORD,07:02,American Airlines,AA,False,,2024-09-18 05:51:14.565467
5822,PIT,06:20,LGA,07:44,Delta Air Lines,DL,False,Operated by Republic Airways on behalf of Delta Air Lines,2024-09-18 05:51:14.565467
3679,PIT,06:20,IAD,07:28,United Airlines,UA,False,Operated by Republic Airways on behalf of United Airlines,2024-09-18 05:51:14.565467
1668,PIT,06:25,DTW,07:33,Delta Air Lines,DL,False,,2024-09-18 05:51:14.565467
8464,PIT,06:29,SCE,07:20,Wiggins Airways,WIG,False,,2024-09-18 05:51:14.565467
2491,PIT,06:30,IAH,08:33,United Airlines,UA,False,,2024-09-18 05:51:14.565467
1675,PIT,06:30,FLL,09:14,Spirit Airlines,NK,False,,2024-09-18 05:51:14.565467
3087,PIT,06:35,MCO,08:50,Southwest Airlines,WN,False,,2024-09-18 05:51:14.565467
