Alt_Checkpoint,,2024-09-18 12:33:15.819578
TSA_Pre,2.0,2024-09-18 13:03:51.436958
Main,3.0,2024-09-18 13:03:51.436958
First_Class,1.0,2024-09-18 13:03:51.436958
Alt_Checkpoint,,2024-09-18 13:03:51.436958
TSA_Pre,5.0,2024-09-18 13:32:08.935365
Main,6.0,2024-09-18 13:32:08.935365
First_Class,1.0,2024-09-18 13:32:08.935365
Alt_Checkpoint,,2024-09-18 13:32:08.935365
TSA_Pre,4.0,2024-09-18 13:51:24.100757
Main,3.0,2024-09-18 13:51:24.100757
First_Class,1.0,2024-09-18 13:51:24.100757
Alt_Checkpoint,,2024-09-18 13:51:24.100757
TSA_Pre,5.0,2024-09-18 14:16:24.569940
Main,2.0,2024-09-18 14:16:24.569940
First_Class,1.0,2024-09-18 14:16:24.569940
Alt_Checkpoint,,2024-09-18 14:16:24.569940
TSA_Pre,5.0,2024-09-18 14:39:54.734316
Main,13.0,2024-09-18 14:39:54.734316
First_Class,4.0,2024-09-18 14:39:54.734316
Alt_Checkpoint,,2024-09-18 14:39:54.734316
TSA_Pre,5.0,2024-09-18 14:50:52.650976
Main,10.0,2024-09-18 14:50:52.650976
First_Class,2.0,2024-09-18 14:50:52.650976
Alt_Checkpoint,,2024-09-18 14:50:52.650976
TSA_Pre,4.0,2024-09-18 15:18:38.483818
Main,2.0,2024-09-18 15:18:38.483818
First_Class,1.0,2024-09-18 15:18:38.483818
Alt_Checkpoint,,2024-09-18 15:18:38.483818
TSA_Pre,3.0,2024-09-18 15:37:56.910944
Main,2.0,2024-09-18 15:37:56.910944
First_Class,1.0,2024-09-18 15:37:56.910944
Alt_Checkpoint,,2024-09-18 15:37:56.910944
TSA_Pre,4.0,2024-09-18 15:51:28.280223
Main,6.0,2024-09-18 15:51:28.280223
First_Class,1.0,2024-09-18 15:51:28.280223
Alt_Checkpoint,,2024-09-18 15:51:28.280223
TSA_Pre,2.0,2024-09-18 16:20:20.507247
Main,2.0,2024-09-18 16:20:20.507247
First_Class,1.0,2024-09-18 16:20:20.507247
Alt_Checkpoint,,2024-09-18 16:20:20.507247
TSA_Pre,3.0,2024-09-18 16:43:09.592610
Main,5.0,2024-09-18 16:43:09.592610
First_Class,1.0,2024-09-18 16:43:09.592610
Alt_Checkpoint,,2024-09-18 16:43:09.592610
TSA_Pre,2.0,2024-09-18 16:53:52.772892
Main,6.0,2024-09-18 16:53:52.772892
First_Class,2.0,2024-09-18 16:53:52.772892
Alt_Checkpoint,,2024-09-18 16:53:52.772892
TSA_Pre,1.0,2024-09-18 17:14:55.555187
Main,1.0,2024-09-18 17:14:55.555187
First_Class,1.0,2024-09-18 17:14:55.555187
Alt_Checkpoint,,2024-09-18 17:14:55.555187
TSA_Pre,1.0,2024-09-18 17:31:11.442500
Main,2.0,2024-09-18 17:31:11.442500
First_Class,2.0,2024-09-18 17:31:11.442500
Alt_Checkpoint,,2024-09-18 17:31:11.442500
TSA_Pre,2.0,2024-09-18 17:51:23.548991
Main,6.0,2024-09-18 17:51:23.548991
First_Class,1.0,2024-09-18 17:51:23.548991
Alt_Checkpoint,,2024-09-18 17:51:23.548991
TSA_Pre,5.0,2024-09-18 18:22:56.293497
Main,9.0,2024-09-18 18:22:56.293497
First_Class,1.0,2024-09-18 18:22:56.293497
Alt_Checkpoint,,2024-09-18 18:22:56.293497
TSA_Pre,4.0,2024-09-18 18:42:48.359149
Main,12.0,2024-09-18 18:42:48.359149
First_Class,5.0,2024-09-18 18:42:48.359149
Alt_Checkpoint,,2024-09-18 18:42:48.359149
TSA_Pre,6.0,2024-09-18 18:53:35.136596
Main,13.0,2024-09-18 18:53:35.136596
First_Class,4.0,2024-09-18 18:53:35.136596
Alt_Checkpoint,,2024-09-18 18:53:35.136596
TSA_Pre,8.0,2024-09-18 19:14:56.989125
Main,13.0,2024-09-18 19:14:56.989125
First_Class,2.0,2024-09-18 19:14:56.989125
Alt_Checkpoint,,2024-09-18 19:14:56.989125
TSA_Pre,7.0,2024-09-18 19:26:03.707077
Main,12.0,2024-09-18 19:26:03.707077
First_Class,4.0,2024-09-18 19:26:03.707077
Alt_Checkpoint,,2024-09-18 19:26:03.707077
TSA_Pre,5.0,2024-09-18 19:37:34.270698
Main,13.0,2024-09-18 19:37:34.270698
First_Class,4.0,2024-09-18 19:37:34.270698
Alt_Checkpoint,,2024-09-18 19:37:34.270698
TSA_Pre,7.0,2024-09-18 19:51:11.315701
Main,11.0,2024-09-18 19:51:11.315701
First_Class,4.0,2024-09-18 19:51:11.315701
Alt_Checkpoint,,2024-09-18 19:51:11.315701
TSA_Pre,3.0,2024-09-18 20:17:54.903734
Main,7.0,2024-09-18 20:17:54.903734
First_Class,3.0,2024-09-18 20:17:54.903734
Alt_Checkpoint,,2024-09-18 20:17:54.903734
TSA_Pre,4.0,2024-09-18 20:50:58.286940
Main,2.0,2024-09-18 20:50:58.286940
First_Class,1.0,2024-09-18 20:50:58.286940
Alt_Checkpoint,,2024-09-18 20:50:58.286940
TSA_Pre,3.0,2024-09-18 21:15:23.580848
Main,2.0,2024-09-18 21:15:23.580848
First_Class,1.0,2024-09-18 21:15:23.580848
Alt_Checkpoint,,2024-09-18 21:15:23.580848
TSA_Pre,2.0,2024-09-18 21:28:32.389155
Main,5.0,2024-09-18 21:28:32.389155
First_Class,1.0,2024-09-18 21:28:32.389155
Alt_Checkpoint,,2024-09-18 21:28:32.389155
TSA_Pre,1.0,2024-09-18 21:39:33.151115
Main,1.0,2024-09-18 21:39:33.151115
First_Class,1.0,2024-09-18 21:39:33.151115
Alt_Checkpoint,,2024-09-18 21:39:33.151115
TSA_Pre,2.0,2024-09-18 21:51:21.293175
Main,1.0,2024-09-18 21:51:21.293175
First_Class,1.0,2024-09-18 21:51:21.293175
Alt_Checkpoint,,2024-09-18 21:51:21.293175
TSA_Pre,2.0,2024-09-18 22:16:29.389130
Main,2.0,2024-09-18 22:16:29.389130
First_Class,1.0,2024-09-18 22:16:29.389130
Alt_Checkpoint,,2024-09-18 22:16:29.389130
TSA_Pre,1.0,2024-09-18 22:39:09.109021
Main,1.0,2024-09-18 22:39:09.109021
First_Class,1.0,2024-09-18 22:39:09.109021
Alt_Checkpoint,,2024-09-18 22:39:09.109021
TSA_Pre,1.0,2024-09-18 22:50:51.877310
Main,1.0,2024-09-18 22:50:51.877310
First_Class,1.0,2024-09-18 22:50:51.877310
Alt_Checkpoint,,2024-09-18 22:50:51.877310
TSA_Pre,1.0,2024-09-18 23:16:16.626290
Main,1.0,2024-09-18 23:16:16.626290
First_Class,1.0,2024-09-18 23:16:16.626290
Alt_Checkpoint,,2024-09-18 23:16:16.626290
TSA_Pre,1.0,2024-09-18 23:38:06.874875
Main,1.0,2024-09-18 23:38:06.874875
First_Class,1.0,2024-09-18 23:38:06.874875
Alt_Checkpoint,,2024-09-18 23:38:06.874875
TSA_Pre,1.0,2024-09-18 23:51:30.599944
Main,1.0,2024-09-18 23:51:30.599944
First_Class,1.0,2024-09-18 23:51:30.599944
Alt_Checkpoint,,2024-09-18 23:51:30.599944
TSA_Pre,1.0,2024-09-19 01:17:03.830533
Main,1.0,2024-09-19 01:17:03.830533
First_Class,1.0,2024-09-19 01:17:03.830533
Alt_Checkpoint,,2024-09-19 01:17:03.830533
TSA_Pre,1.0,2024-09-19 02:34:32.467977
Main,1.0,2024-09-19 02:34:32.467977
First_Class,1.0,2024-09-19 02:34:32.467977
Alt_Checkpoint,,2024-09-19 02:34:32.467977
TSA_Pre,1.0,2024-09-19 03:01:04.513060
Main,1.0,2024-09-19 03:01:04.513060
First_Class,1.0,2024-09-19 03:01:04.513060
Alt_Checkpoint,,2024-09-19 03:01:04.513060
TSA_Pre,1.0,2024-09-19 03:31:57.632175
Main,1.0,2024-09-19 03:31:57.632175
First_Class,1.0,2024-09-19 03:31:57.632175
Alt_Checkpoint,,2024-09-19 03:31:57.632175
TSA_Pre,1.0,2024-09-19 03:50:53.441037
Main,1.0,2024-09-19 03:50:53.441037
First_Class,1.0,2024-09-19 03:50:53.441037
Alt_Checkpoint,,2024-09-19 03:50:53.441037
TSA_Pre,1.0,2024-09-19 04:20:36.746408
Main,1.0,2024-09-19 04:20:36.746408
First_Class,1.0,2024-09-19 04:20:36.746408
Alt_Checkpoint,,2024-09-19 04:20:36.746408
TSA_Pre,1.0,2024-09-19 04:42:03.767704
Main,1.0,2024-09-19 04:42:03.767704
First_Class,1.0,2024-09-19 04:42:03.767704
Alt_Checkpoint,,2024-09-19 04:42:03.767704
TSA_Pre,1.0,2024-09-19 04:52:40.631545
Main,1.0,2024-09-19 04:52:40.631545
First_Class,1.0,2024-09-19 04:52:40.631545
Alt_Checkpoint,,2024-09-19 04:52:40.631545
TSA_Pre,1.0,2024-09-19 05:16:49.969655
Main,1.0,2024-09-19 05:16:49.969655
First_Class,1.0,2024-09-19 05:16:49.969655
Alt_Checkpoint,,2024-09-19 05:16:49.969655
TSA_Pre,1.0,2024-09-19 05:39:21.892912
Main,1.0,2024-09-19 05:39:21.892912
First_Class,1.0,2024-09-19 05:39:21.892912
Alt_Checkpoint,,2024-09-19 05:39:21.892912
TSA_Pre,1.0,2024-09-19 05:51:21.042454
Main,1.0,2024-09-19 05:51:21.042454
First_Class,1.0,2024-09-19 05:51:21.042454
Alt_Checkpoint,,2024-09-19 05:51:21.042454
TSA_Pre,1.0,2024-09-19 06:24:23.925304
Main,2.0,2024-09-19 06:24:23.925304
First_Class,2.0,2024-09-19 06:24:23.925304
Alt_Checkpoint,,2024-09-19 06:24:23.925304
TSA_Pre,1.0,2024-09-19 06:44:33.726186
Main,1.0,2024-09-19 06:44:33.726186
First_Class,1.0,2024-09-19 06:44:33.726186
Alt_Checkpoint,,2024-09-19 06:44:33.726186
TSA_Pre,1.0,2024-09-19 06:55:16.446807
Main,1.0,2024-09-19 06:55:16.446807
First_Class,1.0,2024-09-19 06:55:16.446807
Alt_Checkpoint,,2024-09-19 06:55:16.446807
TSA_Pre,1.0,2024-09-19 07:15:55.654431
Main,2.0,2024-09-19 07:15:55.654431
First_Class,2.0,2024-09-19 07:15:55.654431
Alt_Checkpoint,,2024-09-19 07:15:55.654431
TSA_Pre,1.0,2024-09-19 07:37:40.909032
Main,7.0,2024-09-19 07:37:40.909032
First_Class,2.0,2024-09-19 07:37:40.909032
Alt_Checkpoint,,2024-09-19 07:37:40.909032
TSA_Pre,1.0,2024-09-19 07:51:17.571283
Main,9.0,2024-09-19 07:51:17.571283
First_Class,1.0,2024-09-19 07:51:17.571283
Alt_Checkpoint,,2024-09-19 07:51:17.571283
TSA_Pre,1.0,2024-09-19 08:22:43.558370
Main,20.0,2024-09-19 08:22:43.558370
First_Class,2.0,2024-09-19 08:22:43.558370
Alt_Checkpoint,,2024-09-19 08:22:43.558370
TSA_Pre,1.0,2024-09-19 08:42:33.555509
Main,28.0,2024-09-19 08:42:33.555509
First_Class,2.0,2024-09-19 08:42:33.555509
Alt_Checkpoint,,2024-09-19 08:42:33.555509
TSA_Pre,2.0,2024-09-19 08:52:57.344202
Main,24.0,2024-09-19 08:52:57.344202
First_Class,2.0,2024-09-19 08:52:57.344202
Alt_Checkpoint,,2024-09-19 08:52:57.344202
TSA_Pre,2.0,2024-09-19 09:18:14.584385
Main,24.0,2024-09-19 09:18:14.584385
First_Class,2.0,2024-09-19 09:18:14.584385
Alt_Checkpoint,,2024-09-19 09:18:14.584385
TSA_Pre,2.0,2024-09-19 09:37:54.241564
Main,12.0,2024-09-19 09:37:54.241564
First_Class,2.0,2024-09-19 09:37:54.241564
Alt_Checkpoint,,2024-09-19 09:37:54.241564
TSA_Pre,2.0,2024-09-19 09:50:53.193554
Main,9.0,2024-09-19 09:50:53.193554
First_Class,2.0,2024-09-19 09:50:53.193554
Alt_Checkpoint,,2024-09-19 09:50:53.193554
TSA_Pre,1.0,2024-09-19 10:18:28.959855
Main,10.0,2024-09-19 10:18:28.959855
First_Class,3.0,2024-09-19 10:18:28.959855
Alt_Checkpoint,,2024-09-19 10:18:28.959855
TSA_Pre,1.0,2024-09-19 10:40:51.757942
Main,7.0,2024-09-19 10:40:51.757942
First_Class,3.0,2024-09-19 10:40:51.757942
Alt_Checkpoint,,2024-09-19 10:40:51.757942
TSA_Pre,1.0,2024-09-19 10:51:40.113464
Main,3.0,2024-09-19 10:51:40.113464
First_Class,1.0,2024-09-19 10:51:40.113464
Alt_Checkpoint,,2024-09-19 10:51:40.113464
TSA_Pre,2.0,2024-09-19 11:14:18.146652
Main,2.0,2024-09-19 11:14:18.146652
First_Class,2.0,2024-09-19 11:14:18.146652
Alt_Checkpoint,,2024-09-19 11:14:18.146652
TSA_Pre,1.0,2024-09-19 11:26:45.715638
Main,2.0,2024-09-19 11:26:45.715638
First_Class,1.0,2024-09-19 11:26:45.715638
Alt_Checkpoint,,2024-09-19 11:26:45.715638
TSA_Pre,1.0,2024-09-19 11:37:56.108499
Main,1.0,2024-09-19 11:37:56.108499
First_Class,1.0,2024-09-19 11:37:56.108499
Alt_Checkpoint,,2024-09-19 11:37:56.108499
TSA_Pre,1.0,2024-09-19 11:50:58.119128
Main,2.0,2024-09-19 11:50:58.119128
First_Class,1.0,2024-09-19 11:50:58.119128
Alt_Checkpoint,,2024-09-19 11:50:58.119128
TSA_Pre,5.0,2024-09-19 12:33:21.024103
Main,5.0,2024-09-19 12:33:21.024103
First_Class,1.0,2024-09-19 12:33:21.024103
Alt_Checkpoint,,2024-09-19 12:33:21.024103
TSA_Pre,7.0,2024-09-19 13:04:43.001799
Main,11.0,2024-09-19 13:04:43.001799
First_Class,2.0,2024-09-19 13:04:43.001799
Alt_Checkpoint,,2024-09-19 13:04:43.001799
TSA_Pre,7.0,2024-09-19 13:32:07.989345
Main,9.0,2024-09-19 13:32:07.989345
First_Class,3.0,2024-09-19 13:32:07.989345
Alt_Checkpoint,,2024-09-19 13:32:07.989345
TSA_Pre,6.0,2024-09-19 13:51:15.784613
Main,6.0,2024-09-19 13:51:15.784613
First_Class,2.0,2024-09-19 13:51:15.784613
Alt_Checkpoint,,2024-09-19 13:51:15.784613
TSA_Pre,7.0,2024-09-19 14:15:43.329643
Main,9.0,2024-09-19 14:15:43.329643
First_Class,3.0,2024-09-19 14:15:43.329643
Alt_Checkpoint,,2024-09-19 14:15:43.329643
TSA_Pre,9.0,2024-09-19 14:39:47.578403
Main,15.0,2024-09-19 14:39:47.578403
First_Class,3.0,2024-09-19 14:39:47.578403
Alt_Checkpoint,,2024-09-19 14:39:47.578403
TSA_Pre,7.0,2024-09-19 14:50:59.626110
Main,13.0,2024-09-19 14:50:59.626110
First_Class,4.0,2024-09-19 14:50:59.626110
Alt_Checkpoint,,2024-09-19 14:50:59.626110
TSA_Pre,6.0,2024-09-19 15:18:20.171497
Main,20.0,2024-09-19 15:18:20.171497
First_Class,3.0,2024-09-19 15:18:20.171497
Alt_Checkpoint,,2024-09-19 15:18:20.171497
TSA_Pre,2.0,2024-09-19 15:38:41.921138
Main,23.0,2024-09-19 15:38:41.921138
First_Class,3.0,2024-09-19 15:38:41.921138
Alt_Checkpoint,,2024-09-19 15:38:41.921138
TSA_Pre,3.0,2024-09-19 15:51:04.497634
Main,17.0,2024-09-19 15:51:04.497634
First_Class,5.0,2024-09-19 15:51:04.497634
Alt_Checkpoint,,2024-09-19 15:51:04.497634
TSA_Pre,4,2024-09-19 16:21:05.407928
Main,9,2024-09-19 16:21:05.407928
First_Class,2,2024-09-19 16:21:05.407928
Alt_Checkpoint,2,2024-09-19 16:21:05.407928
TSA_Pre,3,2024-09-19 16:43:52.137277
